		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.			Int. 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.	Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	Bar  	Lluvia	Lluvia	Calor 	Frío 	Int.	Int.	Int.	Int.  	Viento	Viento	ISS 	Arc.
10/01/15	7:45 a	21.7	21.7	21.3	76	17.3	1.6	S	0.13	6.4	S	21.7	22.2	22.2	1011.2	0.00	0.0	0.000	0.012	34.7	42	19.9	37.9	98	8	100.0	5
10/01/15	7:50 a	21.7	21.8	21.7	75	17.1	3.2	S	0.27	6.4	S	21.7	22.2	22.2	1011.2	0.00	0.0	0.000	0.012	34.7	42	19.9	37.9	98	8	100.0	5
10/01/15	7:55 a	21.7	21.8	21.7	76	17.3	1.6	S	0.13	4.8	S	21.7	22.2	22.2	1011.2	0.00	0.0	0.000	0.012	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	8:00 a	21.6	21.7	21.6	76	17.2	3.2	SSE	0.27	6.4	SSE	21.6	22.1	22.1	1011.2	0.00	0.0	0.000	0.011	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	8:05 a	21.8	21.8	21.6	76	17.4	1.6	SSW	0.13	4.8	WSW	21.8	22.3	22.3	1011.2	0.00	0.0	0.000	0.012	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	8:10 a	21.8	21.8	21.8	76	17.4	3.2	S	0.27	8.0	SSE	21.8	22.4	22.4	1011.2	0.00	0.0	0.000	0.012	34.7	42	19.9	37.9	95	8	97.9	5
10/01/15	8:15 a	21.8	21.9	21.8	75	17.2	3.2	SSE	0.27	6.4	SW	21.8	22.3	22.3	1011.2	0.00	0.0	0.000	0.012	34.7	42	19.9	37.9	98	8	100.0	5
10/01/15	8:20 a	22.1	22.1	21.8	74	17.2	1.6	SSE	0.13	4.8	SSE	22.1	22.6	22.6	1011.3	0.00	0.0	0.000	0.013	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	8:25 a	22.2	22.2	22.1	74	17.3	3.2	SSW	0.27	9.7	NNW	22.2	22.7	22.7	1011.3	0.00	0.0	0.000	0.013	34.7	42	19.9	37.9	98	8	100.0	5
10/01/15	8:30 a	22.2	22.2	22.2	74	17.4	1.6	SSW	0.13	4.8	WSW	22.2	22.7	22.7	1011.2	0.00	0.0	0.000	0.014	34.7	42	19.9	37.9	97	8	100.0	5
